APD,Group
1.969538736854546,Adipose
1.9237017184114886,Adipose
1.7798301991245713,Adipose
1.9540589379295947,Adipose
1.7729889003921269,Adipose
1.758705903499465,Adipose
1.835405522282755,Adipose
1.9486175925952556,Adipose
1.796927745092005,Adipose
1.8976470828321226,Adipose
1.8968519571642994,Adrenal Gland
1.6703250684122737,Adrenal Gland
1.7967931583099825,Adrenal Gland
1.8874661119001432,Adrenal Gland
1.8411954074320618,Adrenal Gland
1.8639526841532315,Adrenal Gland
1.7433780833659014,Adrenal Gland
2.0588572938306817,Adrenal Gland
1.6787214595112046,Adrenal Gland
1.8621121461201244,Adrenal Gland
2.076739319653591,Bone Marrow
1.6768919126874735,Bone Marrow
1.9377877416575418,Bone Marrow
2.0048781018987087,Bone Marrow
1.9100040782288408,Bone Marrow
1.9238949276634574,Bone Marrow
1.9817069104067118,Bone Marrow
2.0420494330016625,Bone Marrow
1.8162664627587526,Bone Marrow
1.9455382522056364,Bone Marrow
1.7178841356043728,Cortex
1.7700846511881119,Cortex
1.5129493757215458,Cortex
1.7058246487948272,Cortex
1.9250358770501237,Cortex
1.7357253952795209,Cortex
1.8845912959776596,Cortex
1.5870786075370806,Cortex
2.0192656824279984,Cortex
1.7013900096679637,Cortex
1.8241049320457452,Colon
1.8456881784078767,Colon
1.9380014127304193,Colon
1.7986528405068656,Colon
1.7731687010957105,Colon
1.9288302172242078,Colon
1.8725894437994033,Colon
1.917695930602927,Colon
1.8214750399853947,Colon
1.81828393704734,Colon
1.8390410016687568,Duodenum
1.9720065465734202,Duodenum
1.848419790781793,Duodenum
1.7929418545077238,Duodenum
1.7579443754803041,Duodenum
1.7720162548590461,Duodenum
1.8089328506588733,Duodenum
1.757800990816196,Duodenum
1.716255434755115,Duodenum
1.7633082084127853,Duodenum
1.7644120808046744,Endometrium
1.8329733224136149,Endometrium
1.8105279822082123,Endometrium
1.7002591542662036,Endometrium
1.799487547830377,Endometrium
1.9131568234723924,Endometrium
1.7716238013325114,Endometrium
1.8635205257505778,Endometrium
1.838395474752728,Endometrium
1.7339101312695733,Endometrium
1.8728852967753933,Esophagus
1.741453923229248,Esophagus
1.7794143389510348,Esophagus
1.7375372994567764,Esophagus
1.897076758260946,Esophagus
2.108593029947154,Esophagus
2.001488791946742,Esophagus
1.9843201088822566,Esophagus
1.9385353637405953,Esophagus
1.7781785789771785,Esophagus
1.7007498664132137,Fallopian Tube
1.6864539292173142,Fallopian Tube
1.9630564852803107,Fallopian Tube
1.8070860169078513,Fallopian Tube
1.8082501167826093,Fallopian Tube
1.895640617151039,Fallopian Tube
1.5382764766423795,Fallopian Tube
1.9858308120205737,Fallopian Tube
1.8267162253504674,Fallopian Tube
1.6115682694675066,Fallopian Tube
1.9526894733667113,Gallbladder
1.861147566511484,Gallbladder
1.8102219047106187,Gallbladder
1.7832124443586745,Gallbladder
1.8875777660357065,Gallbladder
1.854921670938787,Gallbladder
1.7158286798762576,Gallbladder
1.941912027066557,Gallbladder
1.7734608032300452,Gallbladder
1.86285050805462,Gallbladder
1.837455524609775,Heart
1.733188808347954,Heart
1.6932339941595689,Heart
1.8346274903923574,Heart
1.8401150987299237,Heart
1.6933225897138497,Heart
1.907263103545222,Heart
1.6143373272553017,Heart
1.6907820721123112,Heart
1.7605156971530749,Heart
1.852158708998691,Kidney
1.6770497636647044,Kidney
1.7634579466499753,Kidney
1.8535111130615096,Kidney
1.7123290514464649,Kidney
1.688199085084798,Kidney
1.7796949727685722,Kidney
1.8676847620128652,Kidney
1.738198163547753,Kidney
1.7074587187449108,Kidney
1.7401531119605071,Liver
1.7271831181820165,Liver
1.7605396606842372,Liver
1.7304106734854703,Liver
1.6753088590796361,Liver
1.6424009534071904,Liver
1.691663134840263,Liver
1.6684232143656232,Liver
1.5106571807590499,Liver
1.8403802268409093,Liver
1.7280799999224832,Lung
1.7985754241768601,Lung
1.6876404701850432,Lung
1.610064017931021,Lung
1.7424673797098353,Lung
1.764084576611635,Lung
1.7036642808852518,Lung
1.7104433688250373,Lung
1.6235782620788022,Lung
1.5778737477669242,Lung
