APD,Group
2.0737126388820135,Bone Marrow
1.9944206105672295,Bone Marrow
2.142180194582508,Bone Marrow
2.018401739605425,Bone Marrow
2.0672964860882304,Bone Marrow
2.048919887386479,Bone Marrow
1.995927364762567,Bone Marrow
1.9691225180937386,Bone Marrow
1.992101421322816,Bone Marrow
1.961326389816866,Bone Marrow
1.8021460413678556,Cortex
1.8293943239050605,Cortex
1.741825474859892,Cortex
1.7557971454164316,Cortex
1.7322364810335187,Cortex
1.7034268032740008,Cortex
1.7776547786927968,Cortex
1.616406247866395,Cortex
1.6261670547273521,Cortex
1.7324718069561968,Cortex
1.7259510828743128,Liver
1.6404914533102395,Liver
1.6421907397467657,Liver
1.6770532360090793,Liver
1.7268760550139013,Liver
1.6583133550685425,Liver
1.5753042507750135,Liver
1.6930933453280923,Liver
1.7796959240960706,Liver
1.7387824921315596,Liver
1.9170124954659264,Placenta
1.925894600568851,Placenta
1.8731947523088839,Placenta
1.8077135244088347,Placenta
1.9150532395791533,Placenta
1.8731321839985395,Placenta
1.9180636247447598,Placenta
1.906286013487613,Placenta
1.9654388045457583,Placenta
1.9483319554930214,Placenta
1.7633267432653017,Skeletal Muscle
1.509305885612228,Skeletal Muscle
1.6786152850910596,Skeletal Muscle
1.7526244380954128,Skeletal Muscle
1.8287391614440307,Skeletal Muscle
1.4864212474208898,Skeletal Muscle
1.736583367375225,Skeletal Muscle
1.7558750698914316,Skeletal Muscle
1.742661959965761,Skeletal Muscle
1.735093861868038,Skeletal Muscle
1.9370942978144294,Testis
1.82629239080547,Testis
1.8133146804495395,Testis
1.8146833159750648,Testis
1.995681532583969,Testis
1.8009907344875922,Testis
1.829619832454161,Testis
1.905046799867495,Testis
1.6764973017890523,Testis
2.0427253430654906,Testis
2.0444302527074725,Skin
2.1365822238772734,Skin
2.12768378283718,Skin
1.9878961292375241,Skin
2.1653339113138093,Skin
2.0904347466516042,Skin
2.1563123701176505,Skin
2.018394833128842,Skin
1.9940827265546688,Skin
2.136031175373225,Skin
