Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adrenal Gland,0.001610820635733599,0.10972955236537398,0.0016108206357336179,0.10972955236537515,0.2491769175950465,0.006434744928576585,0.6357708562906901,0.011115103284276711,0.018315202401345515,0.09270688688190439,0.49894372594308,0.025747133098083744,0.4997590467600167,0.00476141441913991,0.001967168531431887,0.7395891208359966,0.02067829788063449,0.7395891208359966,0.02067829788063458,0.027068412512276766,0.06018787720898604,0.28544544342819345,0.43701192883356543,0.7621237347901346,0.13314283048032893,0.22094358738706416,0.6945359679533716,0.051549515317461374,0.2124946625905641,0.1041253950415218,0.01719196383128865,0.03406202578828966,0.009826963469979764,0.03406202578828918,0.00982696346997976,0.7854421590695676,0.9819645993435034,0.05174144473148665,0.19973711210511072,0.013618301176199419,0.030056896459894355,0.1823886474098599,0.1771065771715542,0.9383819717347391,0.543013841877702,0.8487984298009281,0.348426567322776,0.05695506453023631,0.06255640874497338,0.9421523113840855,0.06255640874497301,0.3550004462582034,0.008068539924551109,0.3832914115342586,0.005414616323520247,0.07945111406949436,0.10903032189981737,0.10903032189981782,0.15186288356332725,0.09184961145421196,0.3062197923370673,0.09184961145421147
Cerebral Cortex,0.40213241926862087,0.8191242538556689,0.4021324192686241,0.8191242538556748,0.27108118093162276,0.5766056625591609,0.5350818575617418,0.9737877674584978,0.09480685002269103,0.04685843547892085,0.6520268760963883,0.15319134756695643,0.8376508988303735,0.16845706204003788,0.0657430931846395,0.12049347051369448,0.6462903114033355,0.12049347051369232,0.6462903114033336,0.12294520569779385,0.06463094108224521,0.590246621356167,0.9930348475079018,0.11129140551543841,0.33772672101442947,0.3246944914374764,0.30418941823460405,0.28762526120460313,0.8791199391547723,0.254549057114802,0.40068514241814357,0.2919976997489973,0.6464744093687245,0.2919976997489975,0.6464744093687245,0.025323041543707715,0.014516578629564248,0.3140853494713968,0.8159928307582371,0.16895400139422834,0.1658375097055668,0.28619660116311574,0.2567496093978835,0.9082199431867928,0.5165290360408087,0.9550856240140421,0.5217771180782788,0.7852317227027071,0.6561337359103685,0.9690692400900236,0.6561337359103667,0.448316034589497,0.9976961530594805,0.594137708959895,0.6157532649174713,0.8318670412392535,0.4446720287561713,0.4446720287561702,0.10096319921044063,0.9080136354037028,0.39962867173175387,0.9080136354037069
Colon,0.061311000004346174,0.020424239113303808,0.06131100000434545,0.020424239113303922,0.7349854541854428,0.019436337665585206,0.9801265895802345,0.02344445857539681,0.012931756696071165,0.715326518052309,0.1438631178330611,0.9013836601556331,0.21014635203589777,0.012642913222748485,0.04112411987052444,0.006368508644456154,0.194406089181455,0.006368508644456047,0.19440608918145663,0.8744539398853997,0.25691204108130905,0.7805322111060355,0.25794566821189985,0.7864385879553273,0.07009105505242348,0.008247250566898687,0.5577023892018133,0.9193018278361997,0.006545250001419539,0.1265566561769753,0.10307039400180723,0.007069389363844353,0.25543484524737187,0.007069389363844581,0.25543484524737187,0.22531861889665536,0.04381473880969401,0.4968204508283415,0.4968856633456519,0.03924393446202234,0.026186550225058277,0.1375927160648899,0.034425437039441904,0.004715643173363166,0.09619310259599176,0.025370766699761852,0.006057331857176122,0.7307697041253711,0.09584749826695596,0.23741095775692414,0.09584749826695553,0.14647568916222706,0.009270242636095539,0.32539998564243067,0.005917222719870423,0.19350460514560147,0.46304300840965384,0.46304300840965384,0.012866307746310394,0.41348648011652445,0.04681838865567077,0.4134864801165289
Esophagus,0.3871829412639848,0.43613617583868525,0.3871829412639848,0.4361361758386839,0.0900015690871178,0.1468168020880279,0.41477816778089815,0.39572578223493704,0.8687379894729103,0.7122231807408725,0.6570469099011669,0.7711848032588394,0.0867171971639697,0.25143448233331556,0.9530555933983071,0.6988452113419427,0.9211038106389153,0.6988452113419474,0.9211038106389114,0.13241712783943516,0.186221648040564,0.502848505864796,0.6264646735156476,0.11478476651019187,0.650554065677938,0.1111807364081671,0.3740971781858461,0.5825092577548374,0.05226449285398992,0.4573218398634554,0.16307695058109503,0.3182192190429438,0.4994930449801116,0.3182192190429438,0.4994930449801116,0.8058203459400607,0.17045207922571348,0.05653780594446474,0.9903023397059176,0.9120351493369805,0.8838450601447866,0.2972494760493571,0.11792970185415295,0.36613379164089455,0.4820136375519396,0.9607561860546318,0.9425943205385054,0.6989114962174926,0.538059668585376,0.7728992927005567,0.538059668585373,0.6106673604727917,0.01227752107159508,0.40262035116735695,0.1480601009208637,0.5706102067166817,0.5477478948456385,0.5477478948456354,0.14869581545360985,0.0874501401699363,0.6416714180524544,0.0874501401699363
Gallbladder,0.08709654801106732,0.5650989112710029,0.08709654801106732,0.5650989112710029,0.05485203218060568,0.3012842006733731,0.09441956109540689,0.5459082821103581,0.10576456544966904,0.1820826650351324,0.7049707002542294,0.25350950647249126,0.9543429756344893,0.02293978145553844,0.003559472709288228,0.45636167336175193,0.14790142288476313,0.45636167336174815,0.14790142288476318,0.567851595601381,0.03393759095131156,0.7335405395631782,0.1336345807117576,0.18924717608439587,0.0598105341176294,0.8826739845732431,0.31658033977163597,0.5232922548847183,0.5960508582795044,0.27853971468640243,0.5349481214860441,0.016176446124879167,0.05965400661161871,0.01617644612487955,0.059654006611620444,0.1591816503715147,0.10823674794226809,0.7759987875258896,0.5940518967197475,0.36101889182099245,0.39728457904313275,0.9407501166393164,0.9736847750209101,0.5662036516099125,0.2785030476455186,0.274706023219157,0.04442703394939889,0.29118888865567805,0.6929662857941126,0.036168226781539595,0.6929662857941162,0.2703710346598482,0.3837196192710397,0.3630757714768912,0.2854324674242497,0.39039923791229425,0.3728219173370233,0.37282191733702486,0.6578314915968604,0.052321281165903955,0.5162951835042864,0.0523212811659046
Heart,0.33105790615660413,0.2571659048903999,0.33105790615660535,0.25716590489039887,0.8069084146301475,0.9317782257772851,0.4708478549663404,0.7002160479964169,0.8448565440163901,0.27089143486693307,0.12892834131474776,0.766400001856228,0.10372831453355875,0.20702446978763378,0.7510756420463616,0.030260781581683473,0.05966730775692012,0.03026078158168386,0.05966730775692012,0.2785413094516425,0.2775177164892441,0.8082034128697754,0.7798504900799652,0.8596190853865568,0.818771116951313,0.5639848417610718,0.05856068592818197,0.14300390126296292,0.390051502063844,0.8882923960604945,0.3833535657147934,0.35629491211778463,0.9660173114354113,0.35629491211778275,0.9660173114354091,0.6579737334359522,0.8990191900432919,0.985971636373161,0.7816700357443461,0.216161660410874,0.049879680900840315,0.9711143825821562,0.28838781209316794,0.014789378021476169,0.24888938928785007,0.32082611053666593,0.7504571457451098,0.8063450415088204,0.0496319351546211,0.6484419779966849,0.04963193515462139,0.7597058227140367,0.8622906133979059,0.7526680463045242,0.08711504283712095,0.8860921035026441,0.20119651910108788,0.20119651910108863,0.6142194175544727,0.18711826737717585,0.5173651894040374,0.18711826737717838
Kidney,0.4257378942117843,0.42573067126620034,0.4257378942117843,0.42573067126620323,0.5511335463538207,0.6244511148240355,0.054116021318556286,0.6066135071643917,0.5471996140714095,0.9054307256438964,0.6733046422083897,0.9724493611777049,0.07573234700942622,0.10782632009967891,0.4648798129856164,0.7284863178721903,0.9830156926054531,0.728486317872188,0.9830156926054551,0.16995391888483902,0.8793466102658438,0.9050606125522104,0.21636786277487274,0.9099769351614105,0.533378404997582,0.7978406513940802,0.27923066834010574,0.5867658966869165,0.29160051108398133,0.44700575122828223,0.19576807036917818,0.8734379373644279,0.9101243694979084,0.8734379373644279,0.9101243694979104,0.5066001704182721,0.6184617790327753,0.1814783290559387,0.2588586240471636,0.9744225449792789,0.2891080223041118,0.7276407613614992,0.25548956035025094,0.7546462410433503,0.35214197997811136,0.4418196610527577,0.8403541196730857,0.16278851238997494,0.5113666989871726,0.830293187263251,0.5113666989871698,0.6393685526587916,0.016289655003084602,0.30981630928891,0.1431980883579915,0.28127654413237263,0.9567590042200034,0.9567590042200106,0.5839273632608035,0.49987236871460783,0.8857662934899472,0.49987236871460783
Liver,0.6108834515591508,0.08828441289435207,0.6108834515591508,0.08828441289435207,0.3642325475323618,0.49819207232682294,0.9360755491224434,0.8266247137586755,0.8850390461827771,0.14072205815973612,0.3802614913922032,0.20393854292606267,0.4143510781808136,0.6716028283718887,0.26213138263485686,0.2450854812986115,0.13946693488436518,0.24508548129861393,0.1394669348843658,0.11256893708898097,0.5896935010503841,0.09521367022746074,0.8390821779697102,0.1681899990363989,0.927548224029949,0.5319063640388537,0.01103203957825507,0.3751011596966939,0.4568145900137387,0.35475291165371114,0.021656917937316233,0.8849121284638205,0.06073116132261029,0.8849121284638247,0.060731161322609604,0.5871784392655961,0.3348046122574757,0.6705988542424222,0.3975509380849116,0.25191729870520096,0.4072869929109125,0.2533493465152882,0.3779397949512552,0.1362417034956108,0.04711190197204983,0.9506456139033362,0.5140432449401687,0.5784263913693242,0.6554792498904571,0.9696000712137216,0.6554792498904554,0.49972075307435826,0.5726076471928294,0.9200242890950854,0.718610694483321,0.6292317507184544,0.6743224982519993,0.6743224982520009,0.38899446970905804,0.9970717099741278,0.6892747027766617,0.9970717099741297
Lung,0.8100600672845253,0.36071048576502995,0.8100600672845296,0.3607104857650325,0.9605465907872294,0.5886507357994923,0.1059304583805321,0.5082953734755052,0.46131772138816074,0.22762118384951435,0.8103873420083005,0.367171631823075,0.97135799589615,0.640201957745582,0.5800977747683751,0.11946486076939179,0.9357504319918288,0.11946486076939401,0.9357504319918288,0.0741050285662657,0.6170028749622611,0.09320531420056959,0.3977586089981544,0.9342426626948588,0.4855969291877983,0.28069930354299877,0.20980922866454152,0.6860887668363747,0.5271777189963025,0.4523861502857174,0.20306396555885076,0.8141511690688377,0.7020158981051787,0.8141511690688336,0.7020158981051787,0.8541943435294559,0.9291011614442786,0.20574889932735824,0.45627546329427016,0.15861488128516874,0.7319414342058913,0.164631900164734,0.9501379856819214,0.40913495456088234,0.036978086303058634,0.6343134284580152,0.4603855515699351,0.5818394808706302,0.28929993217448224,0.40026790152067493,0.2892999321744844,0.3907337963110532,0.4992628243668046,0.11816246748703846,0.4902126465136035,0.8039845963523377,0.944954603893467,0.9449546038934706,0.05795401108423991,0.08787089959961152,0.4248898307971164,0.08787089959961199
Ovary,0.8447640008533481,0.7398605570369551,0.8447640008533528,0.7398605570369572,0.39143441638550003,0.7102429283033249,0.8118159805573785,0.4946834993460524,0.20537027124970272,0.4536439702491304,0.9025399803213239,0.5325332297931038,0.260275340701937,0.43855206081484266,0.9487179497923728,0.3235485496342424,0.47469533441628375,0.32354854963424673,0.4746953344162851,0.4972445909708999,0.7400526620001786,0.9181028473301533,0.3081810711662039,0.1835096984995688,0.19818434925247133,0.18974284580594475,0.5231456189750423,0.2635691882740361,0.06866135572342522,0.4352597726131212,0.8986025829355039,0.9799917865203076,0.4156301798507127,0.9799917865203054,0.41563017985071127,0.37594842187501887,0.5269779614558279,0.30676493212411604,0.41190388902313546,0.683901321570409,0.27879819439056786,0.7604154036286904,0.5642901006669774,0.7912944322145815,0.46803723803168185,0.42479686502320047,0.5862074834583594,0.6784895209874051,0.876393661398796,0.4917557486096805,0.8763936613987979,0.310087537683013,0.7089724485495783,0.5172437556364786,0.9162742590837323,0.8208790227970675,0.6805070227788531,0.6805070227788582,0.05044190077571886,0.7842793147150076,0.4528528696643669,0.7842793147150054
