Tissue,AAA(K),AAC(N),AAG(K),AAT(N),ACA(T),ACC(T),ACG(T),ACT(T),AGA(R),AGC(S),AGG(R),AGT(S),ATA(I),ATC(I),ATT(I),CAA(Q),CAC(H),CAG(Q),CAT(H),CCA(P),CCC(P),CCG(P),CCT(P),CGA(R),CGC(R),CGG(R),CGT(R),CTA(L),CTC(L),CTG(L),CTT(L),GAA(E),GAC(D),GAG(E),GAT(D),GCA(A),GCC(A),GCG(A),GCT(A),GGA(G),GGC(G),GGG(G),GGT(G),GTA(V),GTC(V),GTG(V),GTT(V),TAA(Stop),TAC(Y),TAG(Stop),TAT(Y),TCA(S),TCC(S),TCG(S),TCT(S),TGA(Stop),TGC(C),TGT(C),TTA(L),TTC(F),TTG(L),TTT(F)
Adrenal Gland,0.05913160388862958,0.5444728950562367,0.0591316038886292,0.5444728950562396,0.9396067500331757,0.7885986375397112,0.716777366810254,0.9625426509340158,0.8054776118322762,0.461980196589143,0.7695689378561296,0.7595422586372355,0.44818043536500973,0.10662987061317657,0.19030133785110098,0.08614262383962118,0.8983470283764035,0.08614262383962049,0.8983470283764035,0.8651906573871591,0.8626249486377926,0.8317307492641156,0.9049334477110019,0.19584847306222564,0.5424760835803828,0.276832710458948,0.532937970965708,0.19752056955672154,0.6423331443329782,0.18018336191965897,0.1715364827191495,0.09059146028906964,0.6307819774186864,0.09059146028906906,0.6307819774186851,0.5065510144046103,0.7008175882492145,0.9745516288176264,0.8655793657773309,0.5948976296902779,0.8379162768224317,0.4803283034811128,0.7617789594001619,0.05154928151825612,0.4599700234603097,0.44437808700648307,0.8801086268989402,0.5611260914005711,0.06787220799545834,0.39528838104370956,0.06787220799545834,0.6802404439048655,0.6231330929604044,0.3217111920426972,0.7633283110697764,0.835729264712935,0.7615594102684972,0.7615594102684952,0.45108646298255206,0.37750718499229996,0.7338893425801682,0.37750718499229996
Cerebral Cortex,0.8446223644160288,0.7865182813444239,0.8446223644160287,0.7865182813444264,0.6780304788418747,0.36731008370879337,0.9590385229691731,0.18936684682641342,0.2817827960406685,0.7525314140187874,0.7007694068028036,0.897946452548275,0.7034876150555538,0.9560574555216684,0.7397629477671068,0.64396999914921,0.23027708563082247,0.6439699991492086,0.23027708563082136,0.37039012943524063,0.9789028114030085,0.6987380294223677,0.21334836088152792,0.6599943927977063,0.44706181193412353,0.21839565713656858,0.9929712453983476,0.8058004417906734,0.2536512160512211,0.027203793032081848,0.455268746961737,0.5622750852660741,0.14352364078205818,0.5622750852660741,0.14352364078205818,0.12290393056779272,0.8268696542013293,0.38613279420098423,0.412169932390844,0.8725753871014426,0.2226306918023747,0.8552990154078715,0.17718472660671153,0.8751775137968374,0.2920461247252104,0.5414528080502055,0.7218523239213448,0.006665399319915732,0.5118890507027223,0.28158552327207,0.5118890507027223,0.19465998693225584,0.4792008899130181,0.9156892857787087,0.9282581646157341,0.0007315495869393533,0.006582230124625183,0.006582230124625175,0.7267490787901645,0.7968081213304643,0.21465104058791806,0.796808121330462
Colon,0.6296330548102591,0.24831345157792367,0.6296330548102578,0.24831345157792398,0.07869038229781736,0.04663834723898736,0.4650262114729621,0.8191297268145641,0.17982450474685485,0.5958312745441504,0.6037530344920654,0.8446130364212925,0.8792434342263244,0.35535367906920035,0.1950995414560971,0.29167128828763067,0.5990898481818359,0.29167128828762934,0.5990898481818339,0.9006131450278971,0.5403052814683702,0.16749238602942745,0.11413269419036579,0.963555017634059,0.007923703550562043,0.9791930366576186,0.2442308411820422,0.5035066504711349,0.6050216594802338,0.8926645653199337,0.6801446198188447,0.2711662752027396,0.2942070128067565,0.2711662752027396,0.29420701280675515,0.15616330887223787,0.6210971619327326,0.836700654395477,0.24209594859691383,0.7717224120119909,0.35292139945273104,0.2047841071064566,0.9091807439758657,0.6032926053518977,0.5617624854987818,0.684176694573436,0.7094682400809798,0.2669719732651481,0.7981688582861407,0.633407461059979,0.7981688582861419,0.2951990311669412,0.9995481113291762,0.03489222992328144,0.4170140861334162,0.5706220759189862,0.46950652490192446,0.4695065249019237,0.9824519957444995,0.23788017921805957,0.5038011337151094,0.23788017921806004
Esophagus,0.25886724877628997,0.47455876364130145,0.25886724877628925,0.47455876364130223,0.4412442470291579,0.9623869912645782,0.07506157928421238,0.5831467260182697,0.6215926330352456,0.9702909523695029,0.2551609479539379,0.7273043391994543,0.22116037116700807,0.08788095011553354,0.2112947319673134,0.6422443108685898,0.9680083556946799,0.6422443108685922,0.9680083556946799,0.590191703487952,0.47481414217669204,0.4773969523145569,0.43596701724522324,0.35301905362077435,0.8570993242499809,0.3619012646059324,0.7608186890144313,0.3052551739690722,0.31001472371933636,0.5238365889689134,0.28635955715100647,0.3142231175841791,0.12524512536515853,0.31422311758417987,0.12524512536515853,0.37552607658149784,0.8738944056486091,0.7873734503247981,0.3552481142681978,0.774180671577213,0.48806060452828615,0.34707362098087946,0.7860328113831891,0.02965027993745995,0.1595276936475565,0.43474999626171995,0.38139292501713506,0.6452660341050798,0.9778322713773002,0.807852349618509,0.9778322713772991,0.4322407204813248,0.34742742460479226,0.6056276999492851,0.5785303934078727,0.8340513751831082,0.40685446086411403,0.40685446086411314,0.30493319010785724,0.8620629561798325,0.7657072104134608,0.8620629561798303
Gallbladder,0.8846078670229925,0.4930126073726686,0.8846078670229912,0.4930126073726706,0.26011738577177806,0.16948040942718073,0.2345445202431549,0.583870586144817,0.5147225401793645,0.6728531657962192,0.6717374183405337,0.8887045500499631,0.3478309895462439,0.40868214271591274,0.6327358685224125,0.64799039216243,0.20617525444522505,0.64799039216243,0.20617525444522414,0.7317012882580851,0.38093441794457206,0.9634171764214634,0.6195403935446975,0.9262109178291107,0.21078910988808894,0.9206127430175427,0.15382347390595308,0.32846204637210075,0.009616090961590537,0.5297634625652781,0.047303916276768984,0.5917362470329457,0.9450058515516984,0.5917362470329457,0.9450058515516995,0.18827203397915976,0.1029228673700762,0.5033914231686446,0.8833437409593681,0.3629380091641672,0.36216195909623883,0.7884550101365984,0.8064696932477522,0.2976876314263643,0.9867001596120342,0.9170954300261889,0.5377416812840766,0.6767906898835754,0.7762955055005676,0.3927810462849368,0.7762955055005686,0.8876052186367513,0.6948528791156808,0.5927417475807794,0.5711225309867922,0.7203177707496418,0.8559600846637503,0.8559600846637492,0.27844721022089414,0.24193424916193818,0.29592730706204073,0.24193424916193876
Heart,0.5275919165362322,0.8391180121760149,0.527591916536231,0.8391180121760161,0.37622247452821045,0.5200989526822382,0.017520079048386098,0.915744172483698,0.6327286384122452,0.8489181910562615,0.3498840390393969,0.38398762401344544,0.04889278639095623,0.09527044351779798,0.5285458744814944,0.29533392041816187,0.39474059226478875,0.2953339204181645,0.3947405922647895,0.4752262078011765,0.9210976773427983,0.8607177719866521,0.49144693886802804,0.6374535682313881,0.43129796605000303,0.419002515690854,0.2767865961370287,0.3492388173947689,0.9789406219870606,0.7693675439800581,0.9278864484701743,0.2590377813699556,0.9943276444469666,0.2590377813699563,0.9943276444469666,0.6287933858750334,0.6416011274653288,0.2624306151974653,0.9384140076423094,0.552888358757291,0.8088280906686813,0.7798192985954044,0.8423958768059133,0.8272920700446852,0.4097236088435582,0.7222801580834758,0.99968262119314,0.7196697434456228,0.3271710830572375,0.8544577495792735,0.3271710830572384,0.28341372312598095,0.055499014459813534,0.5108238225870476,0.25083946712848,0.6334223399192851,0.8891929332839702,0.8891929332839734,0.9923204599154047,0.18360671018019695,0.6470878451876882,0.18360671018019648
Kidney,0.005285103630890943,0.5075904728154577,0.005285103630890933,0.5075904728154584,0.2763978005319134,0.03796744752006779,0.8663593585920365,0.12082091974222252,0.01506716263553728,0.31135834942370855,0.07409277088627451,0.42634364968356553,0.7065494979053585,0.3412030437557666,0.3743726124278799,0.3857062399361647,0.20251379968221161,0.38570623993616815,0.20251379968221112,0.4646388601183119,0.4058835110909167,0.6534301651141672,0.16590982709052135,0.02468299375351508,0.5333495357938874,0.026678444627151614,0.9170136521096073,0.3339392200765847,0.8199926137470481,0.013885957403595474,0.07248428304575229,0.22447518023647745,0.09395679366352935,0.22447518023647556,0.09395679366352958,0.21215543759292202,0.2009747854175552,0.8130273507564136,0.003490489873228276,0.09232043621234107,0.43721026392133866,0.01690937035985392,0.13701405545222567,0.08057937897800531,0.11136636714459355,0.4041359798709364,0.22081725437561106,0.5227915283034303,0.6352696943662859,0.05067306955743363,0.6352696943662837,0.7402570548715639,0.5471678924057709,0.7314475721772569,0.418108115823001,0.0251652085650901,0.021456659102260574,0.02145665910226069,0.0808321261135525,0.5158752522679009,0.9530340856658669,0.515875252267899
Liver,0.806218892865145,0.7386321557604534,0.806218892865145,0.7386321557604545,0.9325108836427438,0.04175082256791009,0.3302939201325438,0.16469825138620844,0.9523425880734756,0.004434956191132659,0.8063195483207983,0.6546822760127922,0.8734687950516914,0.6522532659019202,0.47827547021614214,0.02576263425660926,0.7551697258924842,0.02576263425660962,0.7551697258924861,0.2014324209452746,0.40370522738142556,0.9985287509225231,0.6705791744946981,0.7294243682265285,0.871748804649165,0.7526762548265802,0.775357655885572,0.6575233055593165,0.014021518618578489,0.5808755199958425,0.9914061666919254,0.7917750822376092,0.8973213484766329,0.791775082237608,0.8973213484766352,0.7456579003178254,0.16309393649975865,0.32122035403778215,0.5325281142850455,0.4135972853090919,0.8956402409532016,0.5699207505053532,0.8383636740718592,0.3705516350810313,0.018643513111176464,0.16353905622281373,0.39234155714833585,0.5402418669973718,0.3332665781131132,0.0803814123863936,0.33326657811311267,0.15176475266283135,0.8583908116990933,0.984484477114393,0.01915432772417384,0.04353641892937648,0.2985080191649745,0.29850801916497394,0.28369817716086054,0.7064692000417998,0.21628702270151098,0.7064692000417967
Lung,0.6725308667541909,0.7502260573565669,0.6725308667541909,0.7502260573565658,0.7667603458848529,0.7932219574054568,0.37994730707946633,0.9861907519284807,0.6432289849730619,0.056795467911801394,0.060560483440820496,0.7748927358033078,0.5985326776422422,0.5767250016560186,0.23565459649365686,0.8331478879870757,0.9207503590654806,0.8331478879870787,0.920750359065476,0.4787934514574821,0.4147262902751738,0.8053335022375266,0.9392168665679856,0.5932108102686904,0.8698004627015726,0.19837985319636253,0.030245265685533915,0.49504830208309847,0.22661982762037788,0.9714228054836762,0.7612477781929403,0.9635826613558682,0.7239038581727333,0.9635826613558682,0.7239038581727321,0.5874502388703755,0.5231799027149526,0.3077666517191187,0.5450865598243493,0.6023031853902395,0.6351755292448428,0.19287480591119055,0.21655610209144208,0.33088848601946796,0.7355078659942973,0.970889728242337,0.5510722824759544,0.06978000035483703,0.6582294975446819,0.9307177404212749,0.6582294975446819,0.7535129621166092,0.2538094976309176,0.6411764603302232,0.15799918888450357,0.10947301454982258,0.87552618838705,0.875526188387052,0.5837798757826804,0.2996913624322878,0.22907421312214296,0.29969136243228917
Ovary,0.5318198091372142,0.3855419628681681,0.5318198091372144,0.3855419628681688,0.10216649368480013,0.03431721514832772,0.637693541540534,0.6019714115899091,0.3755293678415391,0.6748946053622666,0.632925069773302,0.736089254986179,0.09085217427396651,0.23990306072583553,0.7903861729742241,0.9789807072664167,0.39943046070744737,0.9789807072664155,0.39943046070744737,0.28147632471097156,0.10641474276017755,0.9438368920820894,0.5885310621995048,0.1884888609269006,0.11100199886076274,0.8880410851846471,0.6675188935340681,0.9116775532181299,0.6832925181970353,0.881513437240057,0.9614407879746696,0.04093840873988388,0.7061533550547274,0.04093840873988402,0.7061533550547274,0.26337490848178574,0.2313609236569857,0.27027835658154525,0.6881010463658681,0.9114128536530368,0.8502153575573399,0.8809008628755752,0.9619493708309239,0.01434976627078205,0.6952522863102164,0.4849291019303106,0.6245728435208849,0.6068921559976035,0.1739789566843902,0.36379462018219066,0.1739789566843902,0.5965477761947232,0.3028504785920926,0.5808747268953227,0.795903005186075,0.7576627857995009,0.0042506256026525885,0.004250625602652664,0.5838510769028509,0.15423904860950066,0.7409777120935832,0.1542390486095011
