Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum,Testis,Urinary Bladder
ENSG00000000003,27,15,65,61,54,5,41,62,24,106,7,36,48,67,65,86
ENSG00000000005,0.6,0,1,0.8,0.9,0.9,0.5,0,0.1,7,0.1,4,4,1,0.3,0.5
ENSG00000000419,122,60,83,98,108,54,50,46,84,102,19,117,103,83,124,114
ENSG00000000457,9,8,11,10,16,3,7,5,11,16,2,13,14,13,12,14
ENSG00000000460,3,2,3,3,4,0.6,1,2,3,5,0.4,6,4,5,18,5
ENSG00000000938,8,6,6,12,35,2,3,6,78,3,2,18,6,7,5,31
ENSG00000000971,58,14,61,87,224,41,18,738,64,181,3,21,21,98,19,167
ENSG00000001036,75,25,85,28,87,26,69,37,73,81,14,124,62,113,34,90
ENSG00000001084,19,37,24,41,39,7,22,78,12,11,3,10,30,27,15,50
ENSG00000001167,20,31,25,24,43,8,16,13,36,61,5,36,39,33,118,39
ENSG00000001460,3,9,6,3,4,1,3,0.7,7,5,0.7,2,6,5,31,4
ENSG00000001461,11,73,20,17,18,9,15,1,27,14,4,6,79,20,10,19
ENSG00000001497,21,32,15,20,21,7,15,8,26,54,4,26,30,21,57,20
ENSG00000001561,42,66,34,16,28,18,37,11,68,7,6,11,54,37,30,28
ENSG00000001617,5,2,10,80,17,6,15,2,44,2,1,68,36,8,4,44
ENSG00000001626,0.2,2,86,1,129,0.1,1,1,19,0.5,69,0.4,4,88,2,3
ENSG00000001629,30,59,31,32,48,12,49,11,35,41,6,35,31,31,66,48
ENSG00000001630,8,8,4,5,3,1,3,4,10,4,2,3,4,3,20,3
ENSG00000001631,26,25,18,21,33,12,18,11,30,41,5,29,29,23,51,30
ENSG00000002016,8,10,9,6,11,3,5,2,10,26,2,12,13,12,12,11
ENSG00000002079,0,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,3,0
ENSG00000002330,21,23,30,10,17,14,25,9,21,22,6,33,44,8,28,16
ENSG00000002549,76,70,80,66,141,39,103,114,175,45,8,122,65,81,90,120
ENSG00000002586,62,86,117,160,278,70,26,69,153,242,32,175,247,116,187,165
ENSG00000002587,3,4,3,7,30,0.4,2,0.3,2,61,0.1,2,3,3,3,12
ENSG00000002726,0.1,0.1,257,1,2,0.3,240,0.1,0.8,0.6,0.3,713,2,142,6,3
ENSG00000002745,0.7,0.4,0.2,0.5,0.6,0,0.2,0,0.1,0,0,1,1,0.5,0.2,1
ENSG00000002746,0.1,13,0.1,0.2,2,0,10,0,0.2,0.4,0,0.2,1,0.2,2,0.4
ENSG00000002822,5,8,4,4,5,2,4,3,8,7,0.8,7,8,3,16,6
ENSG00000002834,37,85,121,51,115,17,56,45,126,85,12,120,41,137,28,102
ENSG00000002919,16,21,19,20,21,6,15,8,24,15,3,21,17,19,23,23
ENSG00000002933,17,11,75,11,84,10,138,216,29,55,3,46,7,95,6,54
ENSG00000003056,66,61,73,62,97,36,54,33,104,73,10,91,67,75,81,113
ENSG00000003096,10,7,5,7,10,4,11,2,2,11,0.9,2,8,5,6,10
ENSG00000003137,6,16,2,6,1,3,11,0.7,11,13,0.1,10,3,2,41,4
ENSG00000003147,10,24,19,11,20,19,9,2,20,2,8,11,28,28,51,21
ENSG00000003249,7,22,1,16,5,1,4,1,5,4,3,0.3,5,1,1,2
ENSG00000003393,8,20,7,8,15,13,11,15,16,13,1,13,12,9,13,12
ENSG00000003400,3,4,21,11,19,3,6,4,23,2,1,16,4,23,2,22
ENSG00000003402,27,12,25,24,43,23,26,14,65,18,4,38,35,27,14,31
ENSG00000003436,8,2,11,16,46,6,21,89,74,19,1,86,8,15,4,35
ENSG00000003509,24,12,12,10,22,12,11,7,16,15,2,16,16,14,79,17
ENSG00000003756,38,40,29,34,67,15,15,10,58,113,8,59,78,49,65,48
ENSG00000003987,5,31,1,0.8,1,0.5,2,0.8,2,5,0.4,2,1,2,4,0.8
ENSG00000003989,24,18,14,32,48,11,14,292,20,152,39,47,52,10,60,24
ENSG00000004059,78,118,92,191,131,55,58,34,140,107,38,143,136,75,110,137
ENSG00000004139,3,5,2,2,3,0.9,2,0.6,4,3,1,2,6,4,2,3
ENSG00000004142,222,127,100,137,112,121,146,123,105,122,36,98,132,145,188,123
ENSG00000004399,27,31,17,20,64,21,16,8,115,16,3,178,22,15,25,53
ENSG00000004455,52,32,79,53,56,23,89,54,72,65,8,63,62,93,46,61
ENSG00000004468,2,32,7,3,7,1,1,3,16,1,0.1,1,40,8,2,17
ENSG00000004478,51,68,59,81,53,18,60,33,40,70,14,92,91,64,126,54
ENSG00000004487,41,41,40,40,49,15,23,12,41,74,7,53,58,53,174,55
ENSG00000004534,71,35,35,42,68,19,27,14,69,114,10,51,78,71,85,66
ENSG00000004660,12,45,4,5,6,3,2,0.4,7,11,2,4,7,3,15,11
ENSG00000004700,27,15,19,31,45,17,14,9,41,29,3,37,30,30,22,57
ENSG00000004766,11,21,11,11,11,4,10,3,13,13,1,9,12,13,13,13
ENSG00000004776,247,19,37,164,212,384,11,13,58,257,7,85,189,22,54,229
ENSG00000004777,8,33,4,4,7,3,3,0.5,12,17,2,6,14,3,46,4
ENSG00000004779,67,72,83,33,33,107,69,48,40,32,9,50,55,66,47,42
ENSG00000004799,589,39,123,444,298,36,83,127,96,945,232,169,51,54,34,94
ENSG00000004809,0,0,0.2,0,0.2,0,0,0,0.1,0.1,0,0.8,0.1,0.1,30,0.3
ENSG00000004838,0.4,1,0.1,0.5,1,0.2,0.7,0.1,8,1,0.2,0.4,0.9,0.3,245,0.4
ENSG00000004846,0,0,0.6,0.1,4,0,0,0,0.1,0.1,0,0,0.4,0.3,0.5,1
ENSG00000004848,0,10,0.4,0,0,0,0,0,0.6,104,0.7,0.1,0.6,0.6,10,0
ENSG00000004864,32,24,36,23,35,7,49,112,21,26,4,42,24,40,23,30
ENSG00000004866,17,11,8,9,15,7,14,14,28,21,5,23,14,10,11,13
ENSG00000004897,34,57,27,37,53,20,20,19,43,40,5,53,35,33,56,48
ENSG00000004939,0,0.1,0.1,0.1,0.2,0,70,0.4,0.1,0,0,24,0,0,0.4,0
ENSG00000004948,0.5,0.2,0.1,0.2,0.4,0.2,2,0,0.9,0.5,0,1,0.1,0.1,1,0.1
ENSG00000004961,30,33,38,31,33,39,27,22,25,20,3,33,24,39,29,39
ENSG00000004975,16,14,12,23,23,8,9,3,24,53,3,26,33,11,29,20
ENSG00000005001,0,0,0.7,69,44,0,3,0.3,11,0.2,3,10,17,5,0.1,33
ENSG00000005007,34,32,30,29,43,13,29,13,41,51,14,56,52,18,77,38
ENSG00000005020,49,39,50,32,39,3,39,11,70,46,2,17,22,43,37,74
ENSG00000005022,285,311,914,609,328,199,705,339,384,211,235,486,252,1032,178,503
ENSG00000005059,4,6,10,11,20,3,2,2,16,15,0.5,16,5,13,7,19
