Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum, Testis,Urinary Bladder
ENSG00000000003,-0.035110533,0.016082608,0.011927496,-0.079323797,-0.070221066,-0.006501951,-0.001303585,-0.018747559,-0.031209363,0.006763621,0.108667536,-0.046814044,0.065808852,0.056803513,0.100898108,-0.077719836
ENSG00000000419,0.141796006,-0.016350296,-0.013405072,-0.036806796,-0.05561948,-0.027946197,0.000367742,0.037075416,-0.003426946,0.023547706,0.095621811,0.003283565,-0.040802376,-0.032405834,-0.012378414,-0.062550834
ENSG00000000457,0.03112587,0.022769924,-0.045435102,-0.020278322,-0.051045122,0.032167352,0.050160519,0.065446408,0.006355082,0.008953055,0.055798244,-0.079268293,-0.049387042,-0.009843641,0.022163244,-0.039682175
ENSG00000000938,0.03937058,0.068349694,0.002528258,0.001080686,-0.089342991,0.012641256,0.069161385,0.018362508,-0.246129735,0.031196854,0.067556941,0.056415046,0.004833037,0.010041502,0.050349032,-0.096414052
ENSG00000000971,0.024504192,-0.001270057,0.03925687,-0.012982789,0.080590646,-0.01103604,0.034530458,-0.378740993,0.029317967,-0.002335969,0.048765377,-0.00556959,0.041463097,0.014150157,0.079631816,0.019724857
ENSG00000001036,0.172139057,-0.024437928,-0.044899137,-0.027370479,-0.049507412,-0.006841047,0.042616774,0.056557166,-0.040577627,0.067629384,0.039454624,-0.057673095,-0.032161027,-0.065706514,0.027968473,-0.057191213
ENSG00000001084,0.013529595,0.047188604,0.017120298,-0.0772015,-0.067556328,0.013150645,-0.024976471,-0.083009666,-0.012248491,0.062995272,0.080218925,-0.014583578,0.011624755,0.021764431,0.0359701,-0.023986591
ENSG00000001167,-0.036563071,-0.056672761,-0.045703839,-0.043875686,-0.078610603,-0.014625229,-0.029250457,-0.023765996,-0.065813528,0.18746127,0.396686607,-0.065813528,-0.006127855,-0.060329068,0.014301732,-0.071297989
ENSG00000001461,-0.032069971,0.430983265,-0.058309038,-0.049562682,0.303710612,-0.026239067,-0.043731778,-0.002915452,-0.078717201,-0.040816327,-0.011661808,-0.017492711,-0.2303207,-0.058309038,-0.029154519,-0.055393586
ENSG00000001497,0.000879841,-0.052318902,0.01829164,-0.053050398,-0.055702918,-0.018567639,-0.009986131,0.010782591,-0.028391033,0.082949302,0.07392537,0.123166784,-0.056964119,-0.03523233,0.05326834,-0.053050398
ENSG00000001561,0.024235141,0.143055178,-0.068965517,-0.032454361,-0.056795132,0.04490143,0.100416548,-0.022312373,-0.062097459,0.025988171,-0.012170385,-0.022312373,-0.109533469,-0.07505071,0.104046509,0.019048803
ENSG00000001617,0.449160946,0.16182557,-0.029069767,-0.23255814,-0.049418605,-0.01744186,-0.043604651,-0.005813953,-0.127906977,-0.005813953,-0.002906977,0.022140293,-0.104651163,-0.023255814,-0.011627907,0.020942958
ENSG00000001626,0.022535625,-0.004923683,-0.211718365,0.308231735,-0.317577548,-0.000246184,-0.002461841,0.045311671,-0.046774988,0.032882605,0.201298148,-0.000984737,0.019904666,-0.165316969,0.106690847,0.013149019
ENSG00000001629,0.054101202,-0.072430527,0.069345268,-0.037648559,0.034206278,-0.010876444,-0.0736326,0.004912029,-0.050783696,0.0109423,0.03095575,-0.061946903,0.059627148,0.077286264,-0.035992379,0.00193487
ENSG00000001630,0.312382167,-0.085206547,-0.036730654,-0.049043869,-0.01508109,-0.011764706,-0.007472814,0.060315491,-0.041771141,0.040883586,0.024415827,-0.035294118,-0.025486299,-0.012325624,-0.094199783,-0.023620424
ENSG00000001631,-0.064676617,-0.008331974,-0.044776119,-0.052238806,-0.027857151,0.047321173,0.05001463,-0.027363184,-0.074626866,-0.012525518,0.225195879,-0.072139303,-0.072139303,-0.05721393,0.265983956,-0.074626866
ENSG00000002330,0.016482196,0.068832549,-0.002470331,-0.03058104,-0.051987768,-0.042813456,0.033269288,-0.027522936,-0.064220183,-0.067278287,0.230091623,-0.100917431,-0.030289573,-0.024464832,0.070835845,0.023034336
ENSG00000002549,0.013304638,-0.003592973,-0.0197723,-0.013461947,-0.0609151,-0.001805531,0.055900018,0.05681077,-0.030601731,0.032419649,0.052523401,-0.025620197,-0.010806761,-0.009305318,0.008572718,-0.043649336
ENSG00000002586,0.144693668,-0.021199443,-0.015459029,-0.073226545,-0.102471118,-0.001679096,0.000487546,-0.014919016,0.056710243,0.000129645,0.104800084,-0.080091533,-0.04565949,0.027422162,0.064078543,-0.043616621
ENSG00000002587,-0.022091311,-0.029455081,-0.022091311,-0.051546392,-0.220913108,-0.002945508,-0.014727541,-0.002209131,-0.014727541,-0.449189985,-0.000736377,-0.014727541,-0.022091311,-0.022091311,-0.022091311,-0.088365243
ENSG00000002726,-7.31E-05,-7.31E-05,-0.020231336,-0.000730834,-0.001461668,-0.00021925,0.382975615,-7.31E-05,-0.000584667,-0.0004385,-0.00021925,-0.435323195,0.027249569,0.055780271,-0.004385003,-0.002192502
ENSG00000002745,-0.109375,-0.0625,-0.03125,-0.078125,-0.09375,0,-0.03125,0,-0.015625,0,0,0.84375,-0.15625,-0.078125,-0.03125,-0.15625
ENSG00000002746,0.125784539,-0.22064195,0.049580496,-0.006711409,-0.010215011,0,-0.300454997,0.130779524,0.113047051,0.026489671,0.083170787,-0.006711409,-0.010827644,0.032894864,-0.025611432,0.01942692
ENSG00000002822,-0.007610996,-0.060827417,-0.010344269,-0.027273759,-0.006218448,-0.022026432,-0.044052863,-0.010302312,-0.069769241,0.099469773,0.187095852,8.86E-05,-0.035085342,-0.007034587,0.051759621,-0.037868168
ENSG00000002834,0.006883364,-0.011700349,-0.042649844,-0.035068606,0.038520932,-0.006425904,0.00056481,0.007456941,-0.060431909,-0.004081432,0.108512246,-0.063292244,0.064409224,-0.035897077,0.066368752,-0.033168903
ENSG00000002919,-0.05904059,0.161334545,-0.070110701,-0.073800738,-0.077490775,-0.022140221,-0.055350554,-0.029520295,-0.088560886,-0.055350554,0.252372231,-0.077490775,-0.062730627,-0.070110701,0.41286149,-0.084870849
ENSG00000002933,-0.019836639,-0.012835473,0.285510338,-0.012835473,-0.098016336,-0.011668611,-0.161026838,0.056272534,-0.033838973,0.254483173,-0.003500583,-0.053675613,-0.008168028,-0.110851809,-0.007001167,-0.063010502
ENSG00000003056,0.055514825,-0.035843839,-0.011140212,-0.056569343,-0.031138156,-0.002498945,-0.018034539,0.027129201,-0.043379145,0.068796198,0.058746469,-0.017582465,-0.011051162,0.011747577,0.051395011,-0.046091477
ENSG00000003096,-0.099108028,-0.069375619,-0.049554014,-0.069375619,-0.099108028,-0.039643211,-0.109018831,-0.019821606,-0.019821606,-0.109018831,-0.008919722,-0.019821606,0.227574603,-0.049554014,0.301566382,0.232999749
ENSG00000003137,0.177713511,-0.123266564,-0.01540832,-0.046224961,-0.00770416,0.217855115,-0.084745763,-0.005392912,-0.084745763,-0.100154083,-0.000770416,0.196119083,-0.023112481,0.246524926,-0.31587057,-0.030816641
ENSG00000003147,-0.035335689,0.260094801,-0.018679214,-0.038869258,-0.070671378,-0.067137809,-0.03180212,-0.007067138,-0.070671378,-0.007067138,0.421254972,-0.038869258,-0.026752812,-0.098939929,-0.095281705,-0.074204947
ENSG00000003249,-0.089399745,0.719029374,-0.012771392,-0.204342273,-0.06385696,-0.012771392,-0.051085568,-0.012771392,-0.06385696,-0.051085568,-0.038314176,-0.003831418,-0.06385696,-0.012771392,-0.012771392,-0.025542784
ENSG00000003393,-0.043010753,0.321370632,-0.037634409,-0.043010753,0.023170713,0.099211826,-0.059139785,0.011567787,-0.086021505,0.038308689,-0.005376344,-0.069892473,-0.064516129,-0.048387097,0.02787573,-0.064516129
ENSG00000003400,0.419907719,-0.024390244,-0.12804878,-0.067073171,-0.115853659,0.293915131,-0.036585366,-0.024390244,0.018180856,-0.012195122,0.085069465,-0.097560976,-0.024390244,-0.140243902,-0.012195122,-0.134146341
ENSG00000003402,-0.063380282,0.091380588,-0.058685446,-0.056338028,-0.100938967,-0.05399061,-0.061032864,-0.03286385,0.047971715,0.064027232,-0.009389671,-0.089201878,0.233693903,0.068170473,0.093347638,-0.072769953
ENSG00000003436,-0.01814059,-0.004535147,0.051983823,-0.036281179,0.110439458,-0.013605442,-0.047619048,-0.201814059,-0.034179443,0.022631927,0.211815536,0.018552883,-0.01814059,0.047327244,-0.009070295,-0.079365079
ENSG00000003509,0.139643804,0.131432263,-0.000834072,0.004487337,-0.077192982,0.055074177,0.018531511,0.124684893,-0.056140351,-0.017375222,0.031267452,-0.056140351,-0.056140351,-0.049122807,-0.13252618,-0.059649123
ENSG00000003756,-0.052341598,-0.055096419,-0.012741283,-0.046831956,-0.032920498,-0.020661157,-0.020661157,0.080943222,-0.079889807,0.111724371,0.166527436,-0.081267218,-0.083678441,-0.033763686,0.226773894,-0.066115702
ENSG00000003987,-0.084317032,-0.054642401,0.077729589,-0.013490725,-0.016863406,-0.008431703,-0.033726813,-0.013490725,-0.033726813,-0.084317032,0.182694843,-0.033726813,0.059190135,-0.033726813,0.022025647,0.068820062
ENSG00000003989,0.060774563,0.01045274,0.030192389,-0.037339557,-0.006046647,0.044939261,0.064132655,-0.223481363,0.068140105,-0.106436514,-0.013742642,-0.054842474,-0.014505499,0.119337706,-0.035789837,0.094215114
ENSG00000004059,0.061395267,0.042036837,-0.021069468,-0.059930515,-0.052062351,-0.015017156,0.028995842,0.035031396,-0.045705156,0.009939773,0.019071984,0.104279233,-0.046184597,-0.009849909,-0.003419631,-0.047511548
ENSG00000004139,0.194471521,-0.053576157,0.005443504,-0.045977011,-0.021805955,0.057080984,-0.028438861,0.018591888,-0.078676911,-0.007971359,0.025648058,-0.032005658,-0.037777042,-0.038365609,0.031744579,0.011614029
ENSG00000004142,0.14588784,-0.01161009,-0.031880436,-0.046231568,-0.036566745,-0.005712908,0.052894207,0.011280093,-0.051546392,0.030937179,0.039065951,0.025774021,-0.019864291,-0.020148685,-0.021895261,-0.060382916
ENSG00000004399,0.132375812,0.16732803,0.006107543,0.035827875,-0.065365272,-0.033280507,-0.025356577,0.08341379,-0.091091926,0.04309387,0.067144463,-0.239358571,-0.00600046,0.009461455,-0.000305865,-0.083993661
ENSG00000004455,0.015039276,-0.020500139,-0.019112684,-0.038596469,-0.034559972,0.042027587,0.061174319,0.01808223,-0.032563765,-0.008705806,0.072020521,0.020481888,-0.028554308,-0.04020648,0.025222701,-0.031248899
ENSG00000004468,0.171401932,0.081427878,-0.049610206,-0.021261517,0.031799233,-0.007087172,-0.007087172,0.087204618,-0.021716022,-0.007087172,-0.000708717,-0.007087172,-0.197595778,0.082063539,-0.014174344,-0.120481928
ENSG00000004478,0.044534891,0.000615826,0.008313896,-0.048735698,-0.035026008,-0.00876319,-0.018219673,0.030167612,-0.021856863,0.049864787,0.054658894,-0.057353366,-0.029069848,-0.010922694,0.036325446,0.005465988
ENSG00000004487,0.041202925,-0.004456878,-0.004385622,-0.051546392,0.003768763,-0.019329897,-0.029639175,0.032083752,-0.052835052,0.230067461,0.065277063,-0.040406292,-0.035791543,-0.03788506,-0.025247765,-0.070876289
ENSG00000004534,-0.083040936,-0.040935673,-0.040935673,-0.049122807,-0.079532164,-0.022222222,-0.031578947,-0.016374269,-0.080701754,0.129381494,0.18871009,-0.059649123,-0.037590791,-0.083040936,0.383826692,-0.077192982
ENSG00000004660,-0.087336245,0.247566521,0.003909204,-0.036390102,-0.043668122,-0.021834061,-0.014556041,-0.002911208,-0.050946143,-0.080058224,0.116431735,-0.029112082,-0.050946143,0.006483546,0.081202015,-0.037834652
ENSG00000004700,0.04708134,-0.021182129,0.042433217,-0.056216129,-0.066914507,-0.010194162,-0.022486424,0.021116128,-0.042007389,0.070881081,0.118983888,-0.076447916,0.00349415,-0.000248591,0.071612755,-0.079905313
ENSG00000004766,0.074972437,0.1452987,-0.030057189,-0.065088757,-0.053040501,-0.009957848,-0.059171598,0.035756966,-0.052919033,0.094681434,0.060972401,-0.038976914,-0.018190065,-0.049541698,0.02130994,-0.056048275
ENSG00000004776,-0.031535387,-0.006675425,0.056923799,0.03694014,0.049257719,-0.104273999,0.015838974,-0.002787655,-0.000734901,-0.100955841,0.072765332,-0.022564769,-0.020038622,0.057156665,0.034257703,-0.033573734
ENSG00000004777,-0.048048048,-0.03784714,-0.024024024,-0.024024024,0.170945857,0.056494864,-0.018018018,0.123119277,-0.072072072,-0.028107194,0.058764191,-0.036036036,-0.084084084,0.06265621,-0.075695735,-0.024024024
ENSG00000004779,-0.036783715,0.043845964,-0.065205493,-0.001488153,-0.038686987,0.083922504,0.064712366,0.011338276,-0.034790623,-0.017782221,0.022329987,-0.020410065,-0.020295021,-0.013669269,0.035989073,-0.013026621
ENSG00000004799,-0.008749124,0.010341555,-0.005581485,-0.130052724,-0.063204539,0.273690127,0.073124913,0.166019155,-0.028119508,-0.265746761,-0.019938373,-0.04950205,-0.004643685,0.066281195,0.01361499,-0.027533685
ENSG00000004809,0,0,-0.006269592,0,-0.006269592,0,0,0,-0.003134796,-0.003134796,0,-0.02507837,-0.003134796,-0.003134796,-0.940438871,-0.009404389
ENSG00000004838,-0.001537279,-0.003843198,-0.00038432,-0.001921599,-0.003843198,-0.00076864,-0.002690238,-0.00038432,-0.03074558,0.521483286,-0.00076864,-0.001537279,-0.003458878,-0.001152959,-0.466909881,-0.001537279
ENSG00000004846,0,0,-0.084507042,-0.014084507,-0.563380282,0,0,0,-0.014084507,-0.014084507,0,0,-0.056338028,-0.042253521,-0.070422535,-0.14084507
ENSG00000004848,0.084654358,-0.078740157,0.043672623,0.163165175,0,0.091091794,0,0.038699757,0.093406074,-0.498910513,0.037922575,-0.000787402,0.065025069,-0.004724409,-0.034474943,0
ENSG00000004864,0.022286791,0.016554885,-0.031669854,-0.024868744,-0.057300471,0.043563575,0.049420322,0.120776814,-0.031446903,-0.003192501,0.036272188,-0.022528683,-0.019161194,-0.059747928,0.001414773,-0.040373068
ENSG00000004866,0.059943333,-0.007472745,0.013058548,-0.040909091,-0.018539296,0.010367671,-0.010334324,0.019425292,-0.036381595,-0.020106327,0.073345703,-0.056723603,-0.021059748,0.005366483,-0.019999126,0.050018825
ENSG00000004897,-0.05862069,-0.059784747,-0.000781388,0.015956677,-0.09137931,-0.034482759,-0.034482759,-0.032758621,-0.074137931,-0.068965517,0.203672327,-0.09137931,0.041928937,-0.056896552,0.424870263,-0.082758621
ENSG00000004939,0.098618553,0.018302906,0.023079919,0.061333713,0.061284409,0.031618022,-0.571053484,0.094552884,0.202122065,0.016112337,0.027363588,-0.132501599,0.025069663,0.023214853,0.01057966,0.010302511
ENSG00000004961,-0.013052524,0.053063122,0.063735345,-0.066666667,-0.070967742,-0.030164989,-0.058064516,0.058043353,-0.027048661,-0.008870439,0.017197308,0.04147889,-0.021837509,-0.021574525,0.10694852,-0.022218966
ENSG00000004975,-0.010849649,-0.045602606,0.097862477,-0.074918567,-0.032439972,-0.026058632,0.040955915,-0.009771987,-0.078175896,-0.055647069,0.117269329,-0.084690554,0.028515063,0.060708045,0.048704733,0.024139368
ENSG00000005007,0.002637735,0.013475843,-0.00303364,-0.040550666,-0.046231869,-0.017017428,-0.040622717,0.027770457,-0.040610771,0.118893865,0.05880859,-0.057345206,-0.033382434,0.027019133,0.062019914,-0.031830805
